time,M_dev,air_temp,DWP,UWND,VWND,LGST
2008-09-05T17:12:00Z,0.231826615272873,21.67,-3.04055527356786,1.11091034722376,0.749318490650801,0.729974285699556
2005-09-19T17:10:00Z,0.699853166558111,20,-3.7133651683585,1.18314977443096,0.629091894133094,0.764176132390331
2001-09-01T17:10:00Z,0.745928001320082,21.11,-3.49443863578961,0.9,-0,0.729974285699556
2011-09-02T18:12:00Z,0.827196476849821,21.11,-4.21427524482788,0.834465469110109,0.337145934074321,0.69196510276736
2003-09-30T17:10:00Z,0.899241490565224,19.44,-4.1709121725521,1.55018547277415,0.895,0.79657433321043
2008-09-23T17:12:00Z,0.90540646420463,18.89,-5.29711837965489,0.80891464166925,0.39453403211017,0.729974285699556
2011-09-03T17:12:00Z,0.927432781808171,22.22,-3.32044922672027,0.873266153648397,0.217729706039701,0.650307523131936
2012-09-21T17:08:00Z,0.943690518925794,21.11,-4.21427524482788,1.04137558835234,0.843289324006782,0.650307523131936
2004-09-06T17:10:00Z,0.992704286781551,20.56,-3.9405495052388,-0,-0,0.553883026643874
2008-09-03T17:12:00Z,0.993682483230167,19.44,-4.85001011057961,1.60884134287551,0.784684352752449,0.650307523131936
2010-09-06T17:12:00Z,1.05277693711655,23.33,-1.69712825593056,0.45,-0,0.764176132390331
2008-09-12T17:12:00Z,1.06156687800754,18.89,-5.29711837965489,0.913877802483748,0.980013960169689,0.650307523131936
2000-09-17T17:15:00Z,1.09647284530397,20.56,-3.9405495052388,2.14435355506995,0.534647389275266,0.825426117767823
2001-09-02T17:10:00Z,1.12698712498757,23.33,-2.42798253851413,1.31964238903636,0.232688558073687,0.729974285699556
2001-09-21T17:10:00Z,1.14698059046533,21.11,-3.49443863578961,-0,-0,0.495544337546448
2003-09-15T18:10:00Z,1.16345719353119,17.78,-6.20046072420686,1.25918811185312,0.458306992056396,0.729974285699556
2000-09-04T17:15:00Z,1.18197819074207,21.11,-2.80743929112186,2.13469607609884,0.571990089676571,0.854306041801081
2011-09-29T17:12:00Z,1.18515463038056,22.78,-2.87002559387156,-0,-0,0.60422605308447
2012-09-19T17:08:00Z,1.19374011624354,20.56,-3.25615552853382,1.68204979120678,0.612216056552947,0.60422605308447
2010-09-26T17:12:00Z,1.21542580510169,22.78,-1.4469768815294,-0,-0,0.495544337546448
2004-09-07T17:10:00Z,1.21619990501506,20.56,-4.65766433760619,-0,-0,0.650307523131936
2012-09-20T17:08:00Z,1.23980122949306,20.56,-2.60144968998407,1.37121955318297,1.15058982133891,0.69196510276736
2002-09-22T17:10:00Z,1.24145203017048,20,-4.39510953842938,0.307818128993102,0.845723358707318,0.553883026643874
2009-09-15T17:12:00Z,1.24790352145278,18.33,-5.75269226624725,0.779422863405995,0.45,0.79657433321043
2000-09-17T18:15:00Z,1.25416640119032,20,-4.39510953842938,1.7669289302058,0.343456191677781,0.881384656770573
2004-09-07T18:10:00Z,1.27184699979774,18.89,-4.62061651156931,-0,-0,0.650307523131936
2008-09-07T18:12:00Z,1.28349640888722,18.89,-6.00598819851197,0.41109545593917,0.18303148938411,0.69196510276736
2010-09-01T18:12:00Z,1.30067057733874,18.33,-6.45880383907418,0.860674280366732,0.263134534250463,0.650307523131936
2010-09-02T17:12:00Z,1.30758314983459,23.89,-1.97824630263088,-0,-0,0.60422605308447
2001-09-20T17:10:00Z,1.31071908709287,18.89,-3.97348172997113,0.845723358707318,0.307818128993102,0.729974285699556
2008-10-08T17:12:00Z,1.3150676232586,17.78,-6.20046072420686,0.373066907649769,0.251636806561836,0.60422605308447
2007-09-13T18:12:00Z,1.33186385962969,18.89,-6.00598819851197,1.44814041993116,1.05213560160353,0.854306041801081
