time,M_dev,air_temp,DWP,UWND,VWND,LGST
2013-02-26T16:35:00Z,1.73831465390551,22,5.90306078957803,2.67601849769392,1.545,0.942008053022313
2012-02-24T18:55:00Z,2.60452891625547,16,5.9488851335093,5.31866023364824,-1.93583401122329,0.989894563718773
2012-02-24T18:35:00Z,2.88452285062277,16,5.9488851335093,6.76578686965854,-2.46254503194481,0.989894563718773
2012-02-24T17:55:00Z,2.89406339399708,16,6.94785496659428,4.83002007083957,-1.75798353669394,0.942008053022313
2012-02-24T18:15:00Z,2.95905152262475,16,6.94785496659428,5.79790347024905,-2.11026428431938,0.989894563718773
2016-02-25T16:15:00Z,3.05908905786886,13.1,0.770295706661722,5.5740118820491,0.982848685594826,0.942008053022313
2008-02-26T17:48:00Z,3.16482403634379,19,11.9181677706485,5.14,-0,0.989894563718773
2008-02-26T18:48:00Z,3.22757955612216,17,8.93947095703671,5.79790347024905,-2.11026428431938,1.03342375548695
2010-02-26T16:00:00Z,3.27975997538258,11,-3.01587137584619,4.0574079424103,-0.715430491987753,0.91539983521227
2008-02-26T18:08:00Z,3.44519803487298,18,9.92921217844349,5.34337674134999,-3.085,1.07298474462793
2012-02-24T17:15:00Z,3.49562101262875,16,7.94714563059543,5.79790347024905,-2.11026428431938,0.91539983521227
2008-02-26T18:28:00Z,3.50500729628238,17,8.93947095703671,5.79790347024905,-2.11026428431938,1.09166695759568
2016-02-25T16:35:00Z,3.56139636433851,12.4,1.27450440782992,3.54530791084395,0.625133439600949,0.857332496431269
2016-02-24T18:35:00Z,3.70625768755612,15,7.55321354670936,4.45137057545201,2.57,1.05384642685225
2009-02-27T17:00:00Z,3.77632903827632,20,14.9055029360399,-0.446275816604011,-2.53095592524137,0.91539983521227
2012-02-24T16:55:00Z,3.80136945733365,17,9.93777386147133,6.76578686965854,-2.46254503194481,0.942008053022313
2010-02-25T16:00:00Z,4.00259352295115,7,-6.00023534227243,6.23538290724796,-3.6,1.05384642685225
2010-02-25T16:20:00Z,4.01806978244979,7,-5.00287638904842,3.11769145362398,-1.8,0.91539983521227
2008-02-27T16:09:00Z,4.17040921162487,8,-10.0045628706668,4.90170378541992,-2.83,1.01241537476243
2016-02-23T17:15:00Z,4.22990412278742,22,18.5780679621318,-3.04305595680772,-0.536572868990815,0.887617300335736
2016-02-24T17:55:00Z,4.31453490126539,15.5,8.74810495927238,5.51551999045664,4.62807078974308,1.05384642685225
2012-02-24T16:35:00Z,4.35398861078369,17,11.933885775605,5.06191185048275,-0.892551633208022,0.887617300335736
2012-02-24T16:15:00Z,4.40683155823912,17,12.9325043205578,4.55965989644652,-0.803991062597887,1.01241537476243
2008-02-27T16:29:00Z,4.50189514916488,8,-10.0045628706668,3.54678577164087,-2.97610663284868,0.887617300335736
2008-02-27T17:09:00Z,4.51696833016751,7,-10.997901600823,5.34337674134999,-3.085,0.942008053022313
2016-02-24T18:15:00Z,4.62119637373642,15.6,8.34768821747408,8.0193952390439,4.63,1.1092409685882
2016-02-24T18:55:00Z,4.79360476835997,14.2,7.15739197853765,8.0193952390439,4.63,1.1092409685882
2015-02-23T16:15:00Z,5.09113844698334,15,11.9464794045212,-2.315,-4.00969761952195,0.887617300335736
2009-02-27T17:20:00Z,5.2212103199446,18,15.9181547618916,-1.05684224287632,-2.90365019822846,0.857332496431269
2008-02-21T16:44:00Z,5.45662619163945,13,10.9589268157227,-3.93746843763155,3.30392831378881,0.942008053022313
2013-02-25T17:35:00Z,6.3222820647333,11,10.9689264830481,-3.54678577164087,-2.97610663284868,0.942008053022313
2013-02-25T17:15:00Z,6.32735865068978,12,11.9628728331123,-2.31403539487154,-2.75775999522832,0.857332496431269
