M_dev,time
1.15532482747045,2007-02-20T10:05:00Z
1.42817581980793,2013-03-16T08:07:00Z
1.50456420202668,2011-04-01T13:07:00Z
1.5201667782301,2009-01-08T13:07:00Z
1.53662679308598,2008-02-01T12:07:00Z
1.53843876957813,2012-01-27T12:07:00Z
1.67711037658549,2014-04-08T12:07:00Z
1.73430478753369,2014-02-09T12:07:00Z
1.7455006800207,2009-03-06T11:07:00Z
1.76469251007313,2014-10-15T12:07:00Z
1.78117614079504,2008-02-01T11:07:00Z
1.79552009098498,2005-01-10T11:05:00Z
1.82805105348856,2014-12-16T15:07:00Z
1.89573720638789,2011-04-01T15:07:00Z
2.00301224307082,2011-01-02T15:07:00Z
2.03465552250312,2011-04-01T14:07:00Z
2.07542596541472,2012-01-17T13:07:00Z
2.09805580524234,2015-01-18T11:07:00Z
2.09919284137404,2014-10-15T11:07:00Z
2.11510149364683,2014-04-08T13:07:00Z
2.13109184642789,2013-03-31T10:07:00Z
2.152063290069,2015-02-01T11:07:00Z
2.17213107844582,2008-02-01T13:07:00Z
2.1785804964641,2013-03-17T15:07:00Z
2.19147933061294,2012-12-18T10:07:00Z
2.22026453271777,2012-01-12T15:07:00Z
2.22221357234077,2015-02-01T10:07:00Z
2.24975468689752,2008-02-01T14:07:00Z
2.2524924571197,2007-03-19T10:07:00Z
2.26208543505925,2016-02-01T11:07:00Z
2.31072712707233,2015-03-30T14:07:00Z
2.3517836885251,2011-02-21T09:07:00Z
2.36220772424681,2013-03-05T11:07:00Z
2.3993021991274,2004-12-10T10:05:00Z
2.43601847126576,2011-03-23T20:07:00Z
2.44514654661916,2007-03-20T09:07:00Z
2.44549939518896,2011-12-27T14:07:00Z
2.44980660592212,2011-03-23T21:07:00Z
2.46018030174138,2011-04-12T10:07:00Z
2.48429304093793,2013-02-05T13:07:00Z
2.50399936616893,2006-05-12T09:05:00Z
2.51761888176519,2013-03-16T18:07:00Z
2.52695994849268,2014-11-06T14:07:00Z
2.54896764494108,2011-03-24T07:07:00Z
2.59594087373451,2012-10-29T14:07:00Z
2.60183292127345,2008-03-19T16:07:00Z
2.60706832456073,2008-02-23T14:07:00Z
2.61817762604657,2008-03-03T12:07:00Z
2.64216671325489,2009-03-31T10:07:00Z
2.65520784809672,2015-02-21T12:07:00Z
2.67153608327087,2016-01-29T10:07:00Z
2.67841263214148,2013-02-28T09:07:00Z
2.69351767882482,2008-04-19T15:07:00Z
2.70539736792238,2006-05-18T08:05:00Z
2.71825136260201,2011-01-28T15:07:00Z
2.7384855932523,2009-04-03T09:07:00Z
2.74381098060913,2016-02-29T09:07:00Z
2.75461450457519,2012-01-12T14:07:00Z
2.75760781950754,2014-03-29T12:07:00Z
2.77253275753993,2007-04-12T08:07:00Z
2.77491928518869,2007-11-21T11:07:00Z
2.78789001376537,2011-03-10T13:07:00Z
2.81305996471215,2014-02-15T12:07:00Z
2.82914271998273,2011-04-11T22:07:00Z
